Id,Prompt,Completion
411,ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱠᱚᱢᱯᱳᱥᱴᱤᱝ ᱨᱮ ᱞᱮᱭᱟᱨᱤᱝ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,"ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱫᱚ ᱞᱮᱭᱟᱨ ᱨᱮ ᱯᱟᱥᱱᱟᱣ ᱢᱮ, ᱱᱚᱶᱟ ᱫᱚ ᱟᱨᱩ ᱢᱮ, نائᱴᱨᱳᱡᱮᱱ ᱨᱮᱭᱟᱜ ᱯᱷᱮᱰᱟᱛ (ᱤᱭᱩᱨᱤᱭᱟ ᱥᱮ ᱯᱳᱞᱴᱨᱤ ᱞᱮᱴᱟᱨ), ᱟᱨ ᱢᱮᱠᱨᱳᱵᱤᱭᱟᱞ ᱤᱱᱳᱠᱩᱞᱮᱱᱴ ᱥᱮᱞᱮᱫ ᱢᱮ, ᱯᱚᱨᱤᱢᱟᱱ ᱞᱮᱠᱟᱛᱮ ᱯᱚᱨᱤᱢᱟᱱ ᱵᱟᱨᱮᱛᱮ ᱦᱚᱨᱟ ᱫᱚ ᱵᱟᱨᱮᱛᱮ ᱩᱫᱩᱜ ᱢᱮ ᱾"
412,ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱠᱚᱢᱯᱳᱥᱴ ᱞᱟᱹᱜᱤᱫ ᱛᱤᱱᱟᱹᱜ ᱤᱭᱩᱨᱤᱭᱟ ᱞᱟᱹᱠᱛᱤ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱡᱚᱛᱚ ᱴᱩᱱ ᱠᱚᱭᱟᱨ ᱯᱮᱛᱷ ᱨᱮ ᱚᱱᱢᱟᱱ 5 ᱠᱤᱞᱳᱢᱤᱴᱟᱨ ᱤᱭᱩᱨᱤᱭᱟ, ᱥᱟᱱᱟᱢ ᱞᱮᱭᱟᱨ ᱨᱮ ᱦᱟᱹᱴᱤᱧ ᱯᱚᱨᱤᱢᱟᱱ ᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
413,ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱠᱚᱢᱯᱳᱥᱴᱤᱝ ᱨᱮ ᱢᱮᱠᱨᱳᱵᱟᱭᱮᱞ ᱤᱱᱳᱠᱩᱞᱮᱱᱴ ᱨᱮᱱᱟᱜ ᱮᱱᱮᱢ ᱪᱮᱫ?,ᱯᱮᱞᱩᱨᱳᱴᱟᱥ ᱟᱨ ᱵᱤᱣᱳᱢᱤᱱᱮᱨᱮᱞᱟᱭᱡᱟᱨ ᱞᱮᱠᱟᱱ ᱤᱱᱳᱠᱩᱞᱮᱱᱴ ᱠᱚᱫᱚ ᱰᱮᱠᱢᱠᱳᱡᱤᱥᱚᱱ ᱮ ᱡᱳᱞ ᱞᱮᱫᱟ ᱟᱨ ᱱᱩᱴᱤᱨᱮᱱᱴ ᱧᱟᱢ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤ ᱞᱮᱫᱟ ᱾
414,ᱮᱢᱚᱱ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱠᱚᱢᱯᱳᱥᱴ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱩᱭᱩᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,"ᱡᱟᱣᱜᱮ 10 ᱢᱟᱦᱟ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱪᱟᱞᱟᱣ ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱩᱯᱟᱹᱭ ᱮᱢᱼᱟ, ᱵᱟᱹᱛᱤᱞ ᱦᱚᱭ ᱮᱲᱟᱣᱼᱟ ᱟᱨ ᱮᱨᱤᱵᱤᱠ ᱢᱮᱠᱨᱳᱵᱤᱭᱟᱞ ᱮᱠᱴᱤᱵᱷᱤᱠᱮᱥᱚᱱ ᱮ ᱮᱥᱮᱨᱼᱟ ᱾"
415,ᱠᱚᱢᱯᱳᱥᱴ ᱨᱮᱭᱟᱜ ᱰᱩᱵᱟᱹ ᱨᱮ ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱜᱚᱴᱟ ᱦᱩᱭᱩᱜᱼᱟ?,ᱵᱳᱭᱼᱫᱨᱳᱣᱟ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱩᱯᱟᱹᱭᱟᱱᱠᱚ ᱵᱚᱱᱚᱫᱚᱞ ᱠᱟᱛᱮ ᱵᱟᱝᱠᱷᱟᱱ ᱯᱮᱨᱤᱯᱷᱳᱨᱮᱴᱰ ᱯᱮᱭᱤᱯ ᱥᱮᱞᱮᱫ ᱠᱟᱛᱮ ᱾
416,ᱠᱚᱢᱯᱳᱥᱴ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱤᱰᱟᱹᱣ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱡᱤᱱᱤᱥ ᱫᱚ ᱪᱩᱠᱮᱫ ᱠᱟᱛᱮᱼ ᱡᱩᱫᱤ ᱫᱟᱜ ᱰᱩᱵᱟᱹ ᱵᱟᱝ ᱦᱚᱭᱩᱜ ᱟ ᱢᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟ ᱫᱚ ᱟᱨᱩ ᱢᱚᱱᱮ ᱦᱚᱭᱩᱜ ᱟ, ᱮᱱᱠᱷᱟᱱ ᱟᱨᱩ ᱫᱚ ᱥᱚᱨᱮᱥ (~60%) ᱾"
417,ᱠᱚᱢᱯᱳᱥᱴ ᱯᱚᱨᱤᱢᱟᱱ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱠᱚ ᱪᱮᱫ?,"ᱵᱷᱚᱞᱤᱭᱩᱢ ᱠᱚᱢ ᱟᱠᱟᱱᱟ (30 ᱥᱟᱭᱦᱤᱸᱥ), ᱜᱟᱹᱨᱰᱩ ᱨᱟᱹᱲ, ᱟᱹᱰᱤ ᱜᱟᱹᱨᱰᱩ, ᱚᱛ ᱨᱮᱭᱟᱜ ᱜᱩᱱ ᱟᱨ ᱠᱚᱢ ᱥᱤᱼ ᱮᱱ ᱨᱮᱪ (~ 20ᱼ1) ᱾"
418,ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱠᱚᱢᱯᱳᱥᱴᱤᱝ ᱨᱮ ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱦᱟᱛᱟᱣᱚᱜᱼᱟ?,ᱥᱚᱨᱮᱥ ᱦᱟᱞᱚᱛ ᱨᱮ ᱚᱱᱢᱟᱱ 60 ᱢᱟᱦᱟ ᱾
419,ᱠᱚᱢᱯᱳᱥᱴ ᱠᱤᱨᱤᱧ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,ᱠᱚᱢᱯᱳᱥᱴ ᱫᱚ ᱵᱟᱝ ᱠᱚᱢᱯᱳᱡᱽ ᱟᱠᱟᱱ ᱩᱯᱟᱹᱭ ᱦᱟᱛᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱵᱮᱣᱦᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱞᱮᱠᱟᱛᱮ ᱫᱚᱦᱚ ᱦᱳᱭᱳᱜᱼᱟ ᱾
420,ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ ᱠᱚᱢᱯᱳᱥᱴ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱚᱦᱚ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱛᱷᱟᱹᱨᱰᱩ, ᱪᱷᱟᱹᱲ ᱴᱷᱟᱶ ᱨᱮ ᱫᱚᱦᱚ ᱢᱮ ᱟᱨ ᱚᱠᱛᱚ ᱚᱠᱛᱮ ᱨᱮ ᱫᱟᱜ ᱮᱥᱮᱨ ᱠᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱫᱚᱦᱚ ᱢᱮ ᱾"
421,ᱵᱤᱨᱤᱫ ᱨᱮ ᱠᱳᱭᱟᱨ ᱯᱮᱛᱷ ᱠᱚᱢᱯᱳᱥᱴ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱵᱮᱣᱦᱟᱨ ᱪᱮᱫ?,ᱵᱚᱱᱫᱮᱡ ᱢᱟᱲᱟᱝ ᱵᱮᱥᱟᱞ ᱰᱳᱡᱽ ᱞᱮᱠᱟᱛᱮ ᱡᱚᱛᱚ ꯍꯦꯛꯇꯔ ᱨᱮ 5 ᱴᱚᱱ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱾
422,ᱠᱚᱢᱯᱳᱥᱴ ᱵᱮᱶᱦᱟᱨ ᱢᱟᱲᱟᱝ ᱪᱮᱫ ᱪᱮᱫ ᱥᱟᱧᱪᱟᱣ ᱦᱟᱛᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱢᱮ ᱡᱮ, ᱠᱚᱢᱯᱳᱥᱴ ᱜᱚᱴᱟ ᱞᱮᱠᱟᱛᱮ ᱯᱮᱪᱟᱹᱲ ᱟᱠᱟᱱᱟ; ᱵᱟᱝ ᱯᱮᱪᱟᱹᱲ ᱠᱚᱢᱯᱳᱥᱴ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱠᱚ ᱮᱥᱮᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
423,ᱪᱟᱥ ᱚᱛᱚᱢ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱱᱟᱜ ᱦᱚᱨᱟ ᱪᱮᱫ?,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱠᱚ ᱯᱚᱨᱟᱢᱚᱥ ᱟᱠᱟᱱ ᱯᱚᱨᱤᱢᱟᱱ ᱨᱮ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱥᱩᱨ ᱨᱮ ᱥᱮᱞᱮᱫ ᱠᱟᱛᱮ ᱚᱛᱚᱢ ᱥᱟᱞᱟᱜ ᱥᱮᱞᱮᱫ ᱦᱳᱭᱳᱜᱼᱟ ᱟᱨ ᱚᱱᱟ ᱠᱚ ᱫᱟᱜ ᱮᱥᱮᱨ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱯᱟᱥᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱮᱢ ᱦᱩᱭᱩᱜᱼᱟ ᱾
424,ᱦᱚᱭᱰᱨᱳᱡᱮᱞ ᱢᱮᱲᱟᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱛᱟᱭᱚᱢ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱟᱹᱢᱤᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱟᱭᱢᱟ ᱯᱚᱨᱤᱢᱟᱱ ᱫᱟᱜ ᱮ ᱮᱥᱮᱨᱼᱟ, ᱡᱮᱞ ᱨᱩᱯ ᱨᱮ ᱯᱟᱥᱱᱟᱣᱚᱜᱼᱟ ᱟᱨ ᱚᱠᱛᱚ ᱥᱟᱶ ᱥᱟᱶᱛᱮ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱨᱮ ᱟᱨᱩ ᱠᱚ ᱪᱷᱟᱹᱲ ᱠᱚ ᱮᱢᱼᱟ ᱾"
425,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱨᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱨᱮᱱᱟᱜ ᱦᱚᱨᱟ ᱪᱮᱫ?,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱦᱟᱭᱰᱨᱳᱯᱷᱤᱞᱤᱠ ᱯᱮᱞᱤᱢᱟᱨ ᱱᱮᱴᱳᱣᱟᱨᱠ ᱛᱟᱞᱟᱛᱮ ᱫᱟᱜ ᱥᱟᱵ ᱠᱟᱛᱮ ᱟᱨ ᱛᱟᱭᱚᱢ ᱛᱮᱱᱟᱜ ᱪᱷᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱟᱡᱟᱜ ᱵᱷᱚᱞᱤᱭᱩᱢ ᱨᱮᱭᱟᱜ 200-800 ᱜᱩᱱ ᱯᱟᱥᱱᱟᱣᱼᱟ ᱾
426,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱹᱭᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱢᱩᱲᱩᱫ ᱴᱚᱴᱷᱟ ᱨᱮ ᱫᱟᱜ ᱫᱚᱦᱚ ᱠᱟᱛᱮ, ᱚᱵᱷᱟᱵᱽ, ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱟᱨ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱠᱚᱢ ᱠᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ ᱾"
427,ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱜᱩᱴ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,"ᱯᱚᱨᱤᱢᱟᱱ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱢᱮ, ᱜᱩᱴ ᱨᱮ ᱚᱛᱚᱢ ᱥᱟᱶ ᱢᱮᱲᱮᱡ ᱢᱮ, ᱢᱩᱲᱩᱫ ᱴᱚᱴᱷᱟ ᱥᱳᱨ ᱨᱮ ᱫᱚᱦᱚ ᱢᱮ, ᱯᱷᱚᱞᱮ ᱵᱚᱱᱫᱮᱡ ᱢᱮ ᱟᱨ ᱱᱟᱯᱟᱭ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱮᱢ ᱢᱮ ᱾"
428,ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱪᱟᱥ ᱨᱮ ᱥᱮ ᱱᱟᱹᱥᱟᱨᱤ ᱪᱟᱥ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ?,ᱫᱟᱜᱫᱩᱱᱚ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱹᱣᱟᱱᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱵᱚᱱᱫᱮᱡ ᱢᱟᱲᱟᱝ ᱚᱛᱚᱢ ᱡᱚᱛᱚ ᱨᱮ 0.5-2 g ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱚᱛᱚᱢ ᱥᱟᱞᱟᱜ ᱢᱮᱲᱮᱡ ᱢᱮ ᱾
429,ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱪᱟᱥ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,"225-300 ᱠᱤᱞᱳᱢᱤᱴᱟᱨ/ꯍꯦꯛꯇꯔ ᱨᱮ ᱢᱤᱫ ᱞᱮᱠᱟ ᱵᱮᱣᱦᱟᱨ ᱢᱮ, ᱵᱳᱭᱱᱟ ᱢᱟᱲᱟᱝ ᱚᱛᱚᱢ ᱥᱟᱞᱟᱜ ᱥᱮᱞᱮᱫ ᱢᱮ ᱟᱨ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱪ ᱢᱮ ᱾"
430,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱠᱚᱢᱼᱟ?,"ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱫᱟᱜ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱟᱨ ᱱᱚᱶᱟ ᱫᱚ ᱞᱚᱜᱚᱱ ᱪᱷᱟᱹᱲ ᱮᱢ ᱠᱟᱛᱮ, ᱡᱟᱣᱜᱮ ᱫᱟᱜ ᱮᱢᱚᱜ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱚᱢᱚᱜᱼᱟ ᱾"
431,ᱚᱛ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱟᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱠᱟᱛᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱰᱳᱡᱽ ᱵᱟᱪᱷᱱᱟᱣ ᱨᱮᱱᱟᱜ ᱦᱚᱨᱟ ᱪᱮᱫ?,"ᱚᱛ ᱟᱨ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ ᱵᱤᱪᱷᱚᱱᱟ ᱢᱮ, ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱯᱚᱨᱟᱢᱚᱥ ᱮᱢ ᱟᱠᱟᱱ ᱯᱚᱨᱤᱢᱟᱱ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱾"
432,ᱦᱚᱭᱰᱨᱳᱡᱮᱞ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱷᱚᱨᱟ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱥᱟᱢᱲᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ?,"ᱱᱚᱶᱟᱠᱚ ᱫᱚ ᱠᱷᱚᱨᱟ ᱚᱠᱛᱚ ᱢᱩᱲᱩᱫ ᱨᱮ ᱫᱚᱦᱚ ᱫᱟᱜ ᱠᱚ ᱥᱟᱨᱵᱷᱟᱨᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱠᱚᱢᱼᱟ ᱟᱨ ᱵᱟᱹᱲᱛᱤ ᱫᱚᱦᱚᱼᱟ ᱾"
433,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱩᱛᱱᱟᱹᱣ ᱨᱮᱱᱟᱜ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,"ᱯᱟᱥᱱᱟᱣᱟᱱᱟᱜ ᱫᱟᱲᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ, ᱠᱚᱢᱯᱮᱥᱚᱱ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱫᱟᱜ ᱫᱚᱦᱚ ᱫᱟᱲᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱚᱛᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱥᱮᱞᱮᱫ ᱢᱮ ᱾"
434,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱨ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱫᱟᱜ ᱥᱟᱶᱛᱮ ᱱᱩᱴᱨᱤᱥᱚᱱ ᱠᱚ ᱫᱚᱦᱚ ᱠᱟᱛᱮ, ᱞᱤᱪᱤᱱ ᱵᱚᱱᱫᱷᱩᱠ ᱠᱟᱛᱮ ᱟᱨ ᱚᱛᱢᱚᱱ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱩᱴᱨᱤᱥᱚᱱ ᱧᱟᱢ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
435,ᱚᱛ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱨᱮᱱᱟᱜ ᱮᱱᱮᱢ ᱪᱮᱫ?,"ᱫᱟᱜ ᱫᱚᱦᱚ ᱫᱟᱲᱮ ᱟᱨ ᱫᱟᱜ ᱰᱟᱣᱩᱱ ᱠᱚᱢ ᱠᱟᱛᱮ, ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱫᱚ ᱚᱛ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ, ᱢᱩᱲᱩᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱚᱞᱳᱯ ᱨᱮ ᱾"
436,ᱪᱟᱥ ᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱮᱱᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ?,ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱠᱚᱨᱟᱥᱼᱞᱤᱝᱠᱟᱨ ᱥᱟᱶ ᱮᱠᱨᱤᱞᱤᱠ ᱮᱥᱤᱰ ᱫᱚ ᱯᱮᱞᱤᱢᱟᱨᱟᱭᱡᱽ ᱠᱟᱛᱮ ᱫᱟᱜᱼᱥᱩᱵᱷᱟᱨᱵᱤᱝ ᱯᱮᱞᱤᱢᱟᱨ ᱱᱮᱴᱳᱣᱟᱨᱠ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱱᱟᱣ ᱦᱳᱭᱳᱜᱼᱟ ᱾
437,ᱚᱛ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱨᱮᱭᱟᱜ ᱰᱮᱡᱮᱜᱨᱟᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱪᱮᱫ?,"ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱫᱚ ᱟᱹᱰᱤ ᱠᱚᱢ ᱮᱞᱟᱨᱳᱵᱷᱤ ᱟᱨ ᱢᱮᱠᱨᱳᱵᱟᱭᱤᱞ ᱮᱠᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱟᱶᱛᱟ ᱨᱮ ᱫᱟᱜ, ᱠᱟᱨᱵᱚᱱ ᱰᱟᱭᱳᱠᱥᱟᱭᱰ ᱟᱨ ᱱᱟᱭᱴᱨᱚᱜᱳᱱ ᱠᱚᱢᱯᱟᱣᱩᱱᱰ ᱨᱮ ᱠᱚᱢᱚᱜᱼᱟ ᱾"
438,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱤᱥᱟᱹ ᱠᱚ ᱮᱛᱚᱦᱚᱵᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱵᱳᱫᱽᱫᱷ ᱨᱮᱭᱟᱜ ᱥᱳᱨᱥᱳᱯᱳᱨ ᱨᱮ ᱢᱤᱫ ᱞᱮᱠᱟ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱮ ᱫᱚᱦᱚ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱜᱷᱩᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱮᱫᱟ ᱾"
439,ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱜᱮᱹᱥᱴᱟᱭᱤᱰ ᱵᱮᱶᱦᱟᱨ ᱠᱚᱢ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱪᱮᱫ? ,"ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱥᱟᱢᱵᱲᱟᱣ ᱠᱟᱛᱮ ᱪᱷᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱶᱦᱟᱨ ᱞᱮᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱟᱠᱟᱫᱟᱭ, ᱡᱟᱦᱟᱸᱛᱮ ᱠᱚᱢ ᱰᱳᱡᱽ ᱠᱤᱢᱤᱥᱴᱟᱭᱰᱤᱥ ᱮᱥᱮᱨᱟᱱ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
440,ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱨᱮ ᱦᱟᱭᱰᱨᱳᱡᱮᱞ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱡᱟᱱᱟᱢ ᱮ ᱮᱥᱮᱨᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱚᱥᱤᱰᱮᱴᱤᱵᱷ ᱮᱥᱴᱨᱮᱹᱥ ᱠᱚᱢ ᱠᱟᱛᱮ ᱟᱨ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱩᱥᱩᱞ, ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱴᱚᱴᱷᱟ ᱟᱨ ᱟᱨᱡᱟᱣ ᱨᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱢᱤᱫ ᱵᱟᱨᱮᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱥᱟᱨᱵᱷᱟᱨ ᱠᱚ ᱮᱢᱼᱟ ᱾"
